"Sample_ID","NMDS1","NMDS2","NMDS3","Sample_type","Phylum","Class","Order","Family","Genus","Species","Common_name","Leaf_type","DOC(uM)","TDN(uM)","Tf_volume(mL)","DOCflux(mg)","TDNflux(mg)","Comments","TreeID","Tree_DBH(cm)","Road_distance","Road_direction","Building_distance","Building_direction","Train_distance","Train_direction"
"SO02",0.30041612947812,0.0632346204139856,0.0746225230831165,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Quercus","acutissima","Sawtooth oak","leaves",1475.597568,NA,NA,NA,NA,NA,497,NA,NA,NA,NA,NA,NA,NA
"SO03",-0.44816690492131,0.00209343361892433,-0.0169747192883297,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Quercus","acutissima","Sawtooth oak","leaves",NA,NA,NA,NA,NA,NA,503,NA,NA,NA,NA,NA,NA,NA
"ST01",0.159330892737414,-0.144058099814929,0.0169863820846356,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","stellata","Star magnolia","leaves",228.1299732,NA,NA,NA,NA,NA,1402,NA,NA,NA,NA,NA,NA,NA
"ST02",0.259950407917044,-0.0526875362566841,0.0170445523309386,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","stellata","Star magnolia","leaves",881.429777,NA,NA,NA,NA,NA,907,NA,NA,NA,NA,NA,NA,NA
"ST03",0.20683819565659,-0.116948756860488,0.0176112621903498,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","stellata","Star magnolia","leaves",358.5780496,NA,NA,NA,NA,NA,1425,NA,NA,NA,NA,NA,NA,NA
"WC02",0.240360169779239,0.0385114976182542,-0.0284396178728119,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Thuja","occidentalis","White cedar","scales",4789.625624,NA,NA,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA
"WC03",0.10478511794931,0.0721512271535841,-0.00518337893335044,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Thuja","occidentalis","White cedar","scales",1650.795063,NA,NA,NA,NA,NA,808,NA,NA,NA,NA,NA,NA,NA
"WF01A",-0.043736530632867,0.164182546098487,-0.220265905079395,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Abies","concolor","White fir","needles",5941.677915,NA,NA,NA,NA,"Bucket A",572,NA,NA,NA,NA,NA,NA,NA
"WF01B",-0.0723893311420348,0.27087457354264,-0.233979817831302,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Abies","concolor","White fir","needles",5394.288532,NA,NA,NA,NA,"Bucket B",572,NA,NA,NA,NA,NA,NA,NA
"WF01C",-0.0698976290234087,0.216043247687354,-0.20660878626509,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Abies","concolor","White fir","needles",3087.546361,NA,NA,NA,NA,"Bucket C",572,NA,NA,NA,NA,NA,NA,NA
"WP01",-0.00540846725141223,0.171662320201756,-0.160613967979974,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Pinus","strobus","White pine","needles",2959.655894,NA,NA,NA,NA,NA,1006,NA,NA,NA,NA,NA,NA,NA
"WP02",-0.0910060456852825,0.20807873095674,-0.290873985258961,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Pinus","strobus","White pine","needles",6127.716449,NA,NA,NA,NA,NA,274,NA,NA,NA,NA,NA,NA,NA
"WP03",0.0457349065381838,0.166594698459172,-0.243377197977637,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Pinus","strobus","White pine","needles",8151.029951,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,NA
"ZE01A",0.288549492452,-0.0323055252725955,0.0527989717067386,"Throughfall","Anthophyta","Dicotyledoneae","Urticales","Ulmaceae","Zelkova","serrata","Zelkova","leaves",413.6757475,NA,NA,NA,NA,"Bucket A",756,NA,NA,NA,NA,NA,NA,NA
