"Ulmus_americana_ott706094","Zelkova_serrata_ott762463","Pyrus_calleryana_ott217646","Betula_papyrifera_ott267725","Betula_nigra_ott267696","Quercus_frainetto_ott1065845","Quercus_rubra_ott791115","Quercus_palustris_ott538292","Quercus_acutissima_ott272706","Fagus_sylvatica_ott774712","Gleditsia_triacanthos_ott677313","Acer_palmatum_ott506130","Acer_griseum_ott523216","Acer_rubrum_ott1039827","Acer_platanoides_ott948919","Koelreuteria_paniculata_ott463188","Tilia_cordata_ott218598","Cercidiphyllum_japonicum_ott324758","Liquidambar_styraciflua_ott62530","Ilex_opaca_ott660052","Cornus_kousa_ott22353","Cornus_florida_ott148264","Nyssa_sylvatica_ott671013","Magnolia_kobus_ott664531","Magnolia_stellata_ott664533","Magnolia_virginiana_ott863066","Juniperus_virginiana_ott78161","Callitropsis_nootkatensis_ott603160","Chamaecyparis_obtusa_ott324772","Thuja_occidentalis_ott463720","Metasequoia_glyptostroboides_ott47954","Pinus_resinosa_ott81207","Pinus_strobus_ott568616","Abies_concolor_ott876315"
4.40820390588e-311,5.51037453317777e-311,4.40730636144049e-311,5.50872101625031e-311,5.50872101625031e-311,6.61020515208995e-311,7.71239690497565e-311,7.71239690497565e-311,4.40743898623474e-311,4.40737267386528e-311,0,6.60930076396774e-311,7.7107175211751e-311,7.71071752123043e-311,6.60848058156321e-311,5.50788452482774e-311,4.40648565703189e-311,4.40860765268551e-311,4.40778695218595e-311,6.61013883578378e-311,7.71237579561382e-311,8.81461273515358e-311,7.71155507497912e-311,7.71244208784813e-311,7.71244208784813e-311,5.50796820851615e-311,1.21205691460175e-310,1.10183985187197e-310,1.10183322063502e-310,9.91527456634947e-311,8.81385832712647e-311,9.91605007968015e-311,8.81387945238239e-311,8.81463384059549e-311
8.81467219162307e-311,9.91684281892084e-311,8.81377464718356e-311,9.91518930199338e-311,9.91518930199338e-311,1.1016673437833e-310,1.21188651907187e-310,1.21188651907187e-310,8.81390727197781e-311,8.81384095960836e-311,6.60930076396774e-311,0,3.3058906365418e-311,3.30589063659714e-311,2.20365369692991e-311,3.30589011841911e-311,4.40728898627029e-311,6.61224346025925e-311,6.61142275975969e-311,8.81377464335752e-311,9.91601160318756e-311,1.10182485427273e-310,9.91519088255286e-311,9.91607789542187e-311,9.91607789542187e-311,7.71160401608989e-311,1.43242049535912e-310,1.32220343262934e-310,1.3221968013924e-310,1.21189103739232e-310,1.10174941347002e-310,1.21196858872539e-310,1.10175152599561e-310,1.10182696481692e-310
9.91608894883043e-311,1.10182595761282e-310,9.91519140439092e-311,1.10166060592007e-310,1.10166060592007e-310,1.21180901950404e-310,1.32202819479261e-310,1.32202819479261e-310,9.91532402918517e-311,9.91525771681571e-311,7.7107175211751e-311,3.3058906365418e-311,0,2.20283247833534e-311,3.30506941800256e-311,4.40730687562647e-311,5.50870574347765e-311,7.7136602174666e-311,7.71283951696705e-311,9.91519140056488e-311,1.10174283603949e-310,1.21196652999347e-310,1.10166076397602e-310,1.10174946526292e-310,1.10174946526292e-310,8.81302077329725e-311,1.54256217107986e-310,1.43234510835008e-310,1.43233847711313e-310,1.32203271311306e-310,1.21189108919076e-310,1.32211026444612e-310,1.21189320171635e-310,1.21196864053766e-310
9.91608894888576e-311,1.10182595761835e-310,9.91519140444626e-311,1.10166060592561e-310,1.10166060592561e-310,1.21180901950957e-310,1.32202819479814e-310,1.32202819479814e-310,9.9153240292405e-311,9.91525771687105e-311,7.71071752123043e-311,3.30589063659714e-311,2.20283247833534e-311,0,3.3050694180579e-311,4.4073068756818e-311,5.50870574353298e-311,7.71366021752194e-311,7.71283951702238e-311,9.91519140062021e-311,1.10174283604503e-310,1.211966529999e-310,1.10166076398155e-310,1.10174946526846e-310,1.10174946526846e-310,8.81302077335258e-311,1.54256217108539e-310,1.43234510835561e-310,1.43233847711867e-310,1.32203271311859e-310,1.21189108919629e-310,1.32211026445166e-310,1.21189320172188e-310,1.21196864054319e-310
8.81385200921854e-311,9.91602263651631e-311,8.81295446477903e-311,9.91436911958885e-311,9.91436911958885e-311,1.10158532554285e-310,1.21180450083142e-310,1.21180450083142e-310,8.81308708957328e-311,8.81302077720382e-311,6.60848058156321e-311,2.20365369692991e-311,3.30506941800256e-311,3.3050694180579e-311,0,3.30506993601458e-311,4.40646880386576e-311,6.61142327785472e-311,6.61060257735516e-311,8.81295446095299e-311,9.91519142078303e-311,1.10174283603228e-310,9.91437070014833e-311,9.91525771301733e-311,9.91525771301733e-311,7.71078383368536e-311,1.43233847711867e-310,1.32212141438889e-310,1.32211478315194e-310,1.21180901915187e-310,1.10166739522957e-310,1.21188657048494e-310,1.10166950775516e-310,1.10174494657647e-310
7.71325595248307e-311,8.81542657978084e-311,7.71235840804356e-311,8.81377306285338e-311,8.81377306285338e-311,9.91525719869302e-311,1.10174489515787e-310,1.10174489515787e-310,7.71249103283781e-311,7.71242472046835e-311,5.50788452482774e-311,3.30589011841911e-311,4.40730687562647e-311,4.4073068756818e-311,3.30506993601458e-311,0,3.30587274713029e-311,5.51082722111924e-311,5.51000652061969e-311,7.71235840421752e-311,8.81459536404756e-311,9.91683230358731e-311,8.81377464341286e-311,8.81466165628186e-311,8.81466165628186e-311,6.61018777694989e-311,1.32227887144512e-310,1.21206180871534e-310,1.2120551774784e-310,1.10174941347832e-310,9.9160778955602e-311,1.10182696481139e-310,9.91609902081612e-311,9.91685340902922e-311
6.61185708468722e-311,7.71402771198499e-311,6.61095954024772e-311,7.71237419505753e-311,7.71237419505753e-311,8.81385833089718e-311,9.91605008378287e-311,9.91605008378287e-311,6.61109216504196e-311,6.61102585267251e-311,4.40648565703189e-311,4.40728898627029e-311,5.50870574347765e-311,5.50870574353298e-311,4.40646880386576e-311,3.30587274713029e-311,0,4.4094283533234e-311,4.40860765282385e-311,6.61095953642167e-311,7.71319649625171e-311,8.81543343579147e-311,7.71237577561701e-311,7.71326278848602e-311,7.71326278848602e-311,5.50878890915404e-311,1.21213898466554e-310,1.10192192193576e-310,1.10191529069881e-310,9.91609526698736e-311,8.81467902776436e-311,9.91687078031804e-311,8.81470015302028e-311,8.81545454123338e-311
6.61397908034084e-311,7.71614970763861e-311,6.61308153590133e-311,7.71449619071114e-311,7.71449619071114e-311,8.81598032655079e-311,9.91817207943649e-311,9.91817207943649e-311,6.61321416069558e-311,6.61314784832612e-311,4.40860765268551e-311,6.61224346025925e-311,7.7136602174666e-311,7.71366021752194e-311,6.61142327785472e-311,5.51082722111924e-311,4.4094283533234e-311,0,2.20365317883489e-311,4.41024905401663e-311,5.51248601384667e-311,6.61472295338642e-311,5.51166529321196e-311,5.51255230608097e-311,5.51255230608097e-311,3.308078426749e-311,9.92067936425031e-311,8.81850873695254e-311,8.81844242458309e-311,7.71538478458232e-311,6.61396854535931e-311,7.716160297913e-311,6.61398967061523e-311,6.61474405882833e-311
6.61315837984129e-311,7.71532900713905e-311,6.61226083540178e-311,7.71367549021159e-311,7.71367549021159e-311,8.81515962605124e-311,9.91735137893694e-311,9.91735137893694e-311,6.61239346019602e-311,6.61232714782657e-311,4.40778695218595e-311,6.61142275975969e-311,7.71283951696705e-311,7.71283951702238e-311,6.61060257735516e-311,5.51000652061969e-311,4.40860765282385e-311,2.20365317883489e-311,0,4.40942835351707e-311,5.51166531334711e-311,6.61390225288687e-311,5.51084459271241e-311,5.51173160558142e-311,5.51173160558142e-311,3.30725772624944e-311,9.91985866375075e-311,8.81768803645299e-311,8.81762172408353e-311,7.71456408408276e-311,6.61314784485976e-311,7.71533959741344e-311,6.61316897011568e-311,6.61392335832878e-311
8.81551026343911e-311,9.91768089073688e-311,8.8146127189996e-311,9.91602737380942e-311,9.91602737380942e-311,1.10175115096491e-310,1.21197032625348e-310,1.21197032625348e-310,8.81474534379385e-311,8.8146790314244e-311,6.61013883578378e-311,8.81377464335752e-311,9.91519140056488e-311,9.91519140062021e-311,8.81295446095299e-311,7.71235840421752e-311,6.61095953642167e-311,4.41024905401663e-311,4.40942835351707e-311,0,3.30671083916449e-311,4.40894777870424e-311,3.30589011852978e-311,5.5096096098448e-311,5.5096096098448e-311,3.30513573051283e-311,9.91773666801414e-311,8.81556604071637e-311,8.81549972834691e-311,7.71244208834614e-311,6.61102584912314e-311,7.71321760167683e-311,6.61104697437906e-311,6.61180136259216e-311
